date,NO2,O3
2024-10-17,22.804605103280675,22.769159859976643
2024-10-18,23.26858769887009,23.30733245729302
2024-10-19,23.91006441223834,23.1717142857143
2024-10-20,22.57323754789273,23.53784452296821
2024-10-21,21.1457004830918,24.02069565217393
2024-10-22,21.77657980456027,23.33588571428572
2024-10-23,21.974793814433,22.21468879668051
2024-10-24,25.51256756756757,20.91370967741937
2024-10-25,21.72051282051282,22.33230769230769
2024-10-26,24.46423484380123,18.70331123489324
2024-10-27,27.53722134983982,20.80809239842384
2024-10-28,23.337567567567568,26.82861788617886
2024-10-29,16.53533209586906,23.28254887605004
2024-10-30,22.26162162162162,18.03443548387097
2024-10-31,24.919333333333334,20.79696
